freq,0.01,0.50,1.00,1.50,1.68,2.00,2.50,3.00,3.50,4.00,4.50,5.00,10.00
1.49900e+02,9.90741e-01,9.80941e-01,9.70862e-01,9.60709e-01,9.57036e-01,9.50485e-01,9.40195e-01,9.29843e-01,9.19434e-01,9.08973e-01,8.98464e-01,8.87912e-01,7.80942e-01
1.50000e+02,9.90736e-01,9.80914e-01,9.70813e-01,9.60638e-01,9.56957e-01,9.50392e-01,9.40080e-01,9.29707e-01,9.19277e-01,9.08795e-01,8.98266e-01,8.87693e-01,7.80541e-01
1.50100e+02,9.90736e-01,9.80892e-01,9.70768e-01,9.60570e-01,9.56881e-01,9.50302e-01,9.39968e-01,9.29573e-01,9.19122e-01,9.08619e-01,8.98069e-01,8.87476e-01,7.80139e-01
1.50200e+02,9.90787e-01,9.80919e-01,9.70772e-01,9.60551e-01,9.56854e-01,9.50260e-01,9.39904e-01,9.29487e-01,9.19014e-01,9.08489e-01,8.97917e-01,8.87303e-01,7.79775e-01
1.50300e+02,9.90792e-01,9.80902e-01,9.70732e-01,9.60488e-01,9.56782e-01,9.50174e-01,9.39795e-01,9.29357e-01,9.18862e-01,9.08316e-01,8.97723e-01,8.87088e-01,7.79374e-01
1.50400e+02,9.90827e-01,9.80913e-01,9.70719e-01,9.60452e-01,9.56738e-01,9.50115e-01,9.39713e-01,9.29251e-01,9.18734e-01,9.08166e-01,8.97551e-01,8.86895e-01,7.78985e-01
1.50500e+02,9.90845e-01,9.80907e-01,9.70690e-01,9.60399e-01,9.56677e-01,9.50039e-01,9.39615e-01,9.29131e-01,9.18591e-01,9.08002e-01,8.97366e-01,8.86688e-01,7.78588e-01
1.50600e+02,9.90858e-01,9.80898e-01,9.70657e-01,9.60343e-01,9.56613e-01,9.49960e-01,9.39513e-01,9.29006e-01,9.18445e-01,9.07833e-01,8.97176e-01,8.86477e-01,7.78187e-01
1.50700e+02,9.90871e-01,9.80887e-01,9.70621e-01,9.60283e-01,9.56545e-01,9.49877e-01,9.39406e-01,9.28877e-01,9.18293e-01,9.07659e-01,8.96979e-01,8.86259e-01,7.77774e-01
1.50800e+02,9.90883e-01,9.80875e-01,9.70586e-01,9.60224e-01,9.56477e-01,9.49794e-01,9.39301e-01,9.28749e-01,9.18142e-01,9.07486e-01,8.96785e-01,8.86043e-01,7.77366e-01
1.50900e+02,9.90893e-01,9.80862e-01,9.70549e-01,9.60163e-01,9.56408e-01,9.49710e-01,9.39194e-01,9.28619e-01,9.17990e-01,9.07312e-01,8.96589e-01,8.85826e-01,7.76956e-01
1.51000e+02,9.90904e-01,9.80848e-01,9.70511e-01,9.60102e-01,9.56338e-01,9.49626e-01,9.39086e-01,9.28488e-01,9.17837e-01,9.07136e-01,8.96392e-01,8.85607e-01,7.76544e-01
